,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-06,SH600016,SH601169,SH600377,SH601229,SH601009,SH600015,SH601077,SH601328,SH601939,SH601166,0.0008362710359506309,0.012848139,0.7,-0.0005637289640493691,0.9994362710359507,1.0128481,0.9994362710359507,0.0
1,2026-03-09,SH600015,SH601077,SH601006,SH603195,SH601816,SH600036,SH600926,SH601628,SH601398,SH601328,0.009469682350754738,0.006361842,0.7,0.008069682350754738,1.0075014042730335,1.0192918,1.0075014042730335,0.0
2,2026-03-10,SZ300782,SZ002311,SH600015,SH601006,SH600919,SH600036,SZ000895,SH601825,SH600066,SZ000425,0.00040609241113997996,-0.0036008358,0.9,-0.0013939075888600202,1.0060970404198302,1.0156214,1.0075014042730335,-0.001393907588860017
3,2026-03-11,SH603195,SH600015,SH601816,SH688009,SH601818,SH601328,SZ002415,SH601669,SH601658,SH600233,0.016938794404268265,-0.0039295554,0.7,0.015538794404268265,1.0217305754816566,1.0116305,1.0217305754816566,0.0
4,2026-03-12,SH601328,SH601816,SH600919,SH600690,SH601658,SH601009,SH600016,SH600900,SH601398,SH600036,0.004827433731406927,0.000518322,0.4,0.004027433731406927,1.0258455276657612,1.0121549,1.0258455276657612,0.0
5,2026-03-13,SH601816,SH601838,SH600919,SH600900,SH600600,SH600887,SH601169,SH601009,SH600016,SH600036,0.003509175730869174,-0.0073037744,0.8,0.001909175730869174,1.0278040470508014,1.0047624,1.0278040470508014,0.0
6,2026-03-16,SH601838,SH601100,SH601009,SZ000333,SH603019,SZ000063,SH601006,SZ002594,SH600023,SH603259,0.00291177025064826,0.0045046806,0.9,0.00111177025064826,1.0289467290138083,1.0092885,1.0289467290138083,0.0
7,2026-03-17,SH601838,SH600048,SH603195,SH600690,SZ000538,SH600660,SH600941,SZ000999,SH601229,SH601939,-0.006978469900786877,-0.016117394,0.8,-0.008578469900786877,1.0201199404694503,0.9930214,1.0289467290138083,-0.008578469900786844
8,2026-03-18,SH600023,SH600941,SH600025,SH600919,SH601009,SH601818,SH601939,SH601988,SH600016,SH600027,-0.005513804964721203,-0.0035411716,0.5,-0.006513804964721203,1.0134750781366093,0.989505,1.0289467290138083,-0.015036396385678594
9,2026-03-19,SH600941,SH600025,SH600919,SH601229,SH600023,SH601328,SH600036,SZ000538,SH601009,SZ000895,-0.03241708129644394,-0.03262955,0.5,-0.03341708129644394,0.9796076990585983,0.9572179,1.0289467290138083,-0.04795100520169677
10,2026-03-20,SH600023,SH601916,SH600027,SH600919,SZ000538,SZ300498,SH600025,SZ001965,SH600036,SH601166,0.02002164162695408,0.012838483,0.8,0.018421641626954078,0.9976536810256609,0.9695071,1.0289467290138083,-0.030412699808220606
11,2026-03-23,SH600674,SH601006,SH600900,SH600886,SH600905,SZ002459,SZ300498,SH601012,SH601998,SH600027,0.009410971775650978,0.014023185,0.9,0.007610971775650978,1.0052467950338215,0.9831027,1.0289467290138083,-0.0230331982324313
12,2026-03-24,SZ001965,SH600900,SH600036,SH601166,SH600015,SZ000895,SH600919,SH601328,SH600023,SZ002422,0.003746122121810913,-0.013209939,0.6,0.0025461221218109134,1.0078062761365365,0.97011596,1.0289467290138083,-0.02054572144617619
13,2026-03-25,SZ300661,SH601916,SH600900,SH601166,SH600015,SH600036,SZ003816,SH601838,SH601939,SH601825,-0.003394514322280884,0.005592346,0.5,-0.004394514322280884,1.00337745702197,0.9755412,1.0289467290138083,-0.024849947301300183
14,2026-03-26,SH601916,SZ001965,SH600674,SH601166,SH600015,SH600919,SZ003816,SH600900,SH600023,SH601818,-0.006816876120865345,-0.002358675,0.5,-0.007816876120865346,0.9955341797379603,0.9732402,1.0289467290138083,-0.032472574462501284
15,2026-03-27,SH601916,SH601166,SH600900,SH601988,SH600919,SZ002460,SH601169,SH600015,SH600104,SZ002422,0.003454744815826416,-0.009327769,0.4,0.002654744815826416,0.9981770689405978,0.96416205,1.0289467290138083,-0.029904036045385645
16,2026-03-30,SH601916,SH600919,SH601166,SZ000001,SH601818,SH601169,SH600600,SH600900,SH600104,SH601328,0.0027269006241112947,0.01708293,0.4,0.0019269006241112948,1.000100456957713,0.9806328,1.0289467290138083,-0.028034757526993647
17,2026-03-31,SH600919,SH601169,SH600900,SH601166,SH601328,SH601658,SH601816,SH600887,SZ000001,SH601838,0.0068856775760650635,-0.010419548,0.2,0.006485677576065063,1.006586786065216,0.97041506,1.0289467290138083,-0.02173090434917187
18,2026-04-01,SH600919,SH601166,SH601169,SZ000001,SH601658,SH601328,SH600887,SH600036,SH601838,SH601009,-0.010347306728363037,-0.008511066,0.4,-0.011147306728363037,0.9953660544122299,0.96215576,1.0289467290138083,-0.03263597002126996
