,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-06,SH600176,SH688396,SZ300442,SZ300394,SH600016,SH600489,SH688256,SH601169,SZ002028,SZ300316,0.02520938590168953,0.012848139,0.6,0.02400938590168953,1.0240093859016894,1.0128481,1.0240093859016894,0.0
1,2026-03-09,SZ300394,SH688256,SH688082,SH601877,SH688396,SH600522,SH601888,SH600015,SZ300316,SH600115,-0.004588425159454346,0.006361842,0.9,-0.006388425159454346,1.0174675785772778,1.0192918,1.0240093859016894,-0.006388425159454275
2,2026-03-10,SH600893,SH600029,SH600188,SH600115,SH600176,SZ002028,SZ002001,SH601898,SH601111,SZ300782,0.007553779985755682,-0.0036008358,0.8,0.005953779985755682,1.0235253566827665,1.0156214,1.0240093859016894,-0.00047268045155345604
3,2026-03-11,SH601872,SH600026,SZ002709,SZ300274,SH601018,SH600115,SH603195,SH600029,SH600015,SH601816,-0.0026251315139234066,-0.0039295554,0.7,-0.004025131513923407,1.019405532514283,1.0116305,1.0240093859016894,-0.004495909364495246
4,2026-03-12,SH600893,SH600029,SH600482,SH600115,SH600346,SZ002493,SH600875,SH601872,SH600176,SH603993,-0.007515626959502697,0.000518322,0.5,-0.008515626959502698,1.0107246552789382,1.0121549,1.0240093859016894,-0.012973250837006164
5,2026-03-13,SH688396,SZ300394,SH600482,SH600893,SH600026,SZ002001,SH600176,SH600029,SH600522,SH600875,-0.03867914155125618,-0.0073037744,0.4,-0.03947914155125618,0.9708221135438363,1.0047624,1.0240093859016894,-0.0519402195820883
6,2026-03-16,SH600875,SH600482,SH600176,SZ300394,SH600893,SZ000338,SH688396,SH600115,SH603993,SH688506,0.022124409675598145,0.0045046806,0.6,0.020924409675598145,0.9911359931697575,1.0092885,1.0240093859016894,-0.032102628339666345
7,2026-03-17,SZ002001,SH600482,SH601877,SH600522,SH600875,SZ300394,SH600188,SH600176,SZ001979,SH600029,-0.024671847000718117,-0.016117394,0.4,-0.025471847000718115,0.9658899287948326,0.9930214,1.0240093859016894,-0.056756762102995635
8,2026-03-18,SZ300394,SH600188,SH600522,SZ002001,SH601898,SH603993,SH600176,SH600482,SH600362,SZ300251,-0.006485712714493275,-0.0035411716,0.4,-0.007285712714493275,0.958852732259811,0.989505,1.0240093859016894,-0.06362896135420168
9,2026-03-19,SH600522,SZ300394,SH600188,SH600029,SH600176,SZ000630,SH600115,SH600875,SH603993,SH600362,-0.03829929977655411,-0.03262955,0.5,-0.03929929977655411,0.9211704912931648,0.9572179,1.0240093859016894,-0.10042768750402625
10,2026-03-20,SZ002493,SH600875,SZ002001,SH600115,SH603993,SH600522,SH600489,SH600482,SH600176,SH603799,0.030269408598542213,0.012838483,0.3,0.029669408598542214,0.9485010749882616,0.9695071,1.0240093859016894,-0.0737379090006476
11,2026-03-23,SH603993,SH600115,SZ002493,SH600029,SH600489,SH600482,SH600547,SH600176,SH600875,SH600219,0.03434344381093979,0.014023185,0.5,0.03334344381093979,0.9801273672867489,0.9831027,1.0240093859016894,-0.042853141015206944
12,2026-03-24,SH600893,SH600029,SH600115,SZ300394,SH600489,SZ002493,SZ000338,SH600875,SH601021,SZ002384,-0.015714626759290695,-0.013209939,0.8,-0.017314626759290696,0.9631568277456125,0.97011596,1.0240093859016894,-0.059425781632356164
13,2026-03-25,SZ002384,SH605117,SH601898,SH600989,SZ300316,SZ002001,SZ002493,SH600188,SH600026,SH600482,0.00248376140370965,0.005592346,0.5,0.00148376140370965,0.964585922672341,0.9755412,1.0240093859016894,-0.05803019390981776
14,2026-03-26,SZ002384,SH605117,SH601898,SZ300394,SH600989,SH600893,SH600547,SZ300316,SH600115,SH600875,0.005032169632613659,-0.002358675,0.8,0.003432169632613659,0.9678965451841836,0.9732402,1.0240093859016894,-0.054797193746516135
15,2026-03-27,SZ002384,SH601916,SH601166,SH600115,SH600900,SH601988,SH600025,SH600919,SZ002460,SH601868,-0.010194671340286732,-0.009327769,0.5,-0.011194671340286733,0.9570612614694476,0.96416205,1.0240093859016894,-0.06537842851244065
16,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SH600115,SZ002384,SH601916,SH600026,SH600919,0.02914060279726982,0.01708293,0.5,0.02814060279726982,0.9839935422811135,0.9806328,1.0240093859016894,-0.03907761410344897
17,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SH600029,SZ000301,SH601169,-0.01669452153146267,-0.010419548,0.3,-0.01729452153146267,0.9669758447773125,0.97041506,1.0240093859016894,-0.05569630699640141
18,2026-04-01,SH600115,SH603993,SZ002493,SH600029,SH600919,SZ002601,SH601166,SH603799,SH600219,SH601169,-0.01617613434791565,-0.008511066,0.5,-0.01717613434791565,0.9503669377562282,0.96215576,1.0240093859016894,-0.07191579409266408
