,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-06,SH600016,SH601169,SH600377,SH601229,SH601009,SH600015,SH601077,SH601328,SH601939,SH601166,SH601825,SH600941,SH601236,SH601816,SH601916,SZ000895,SH600919,SZ002736,SH600926,SH601658,0.002050647046416998,0.012848139,0.5,0.0010506470464169979,1.001050647046417,1.0128481,1.001050647046417,0.0
1,2026-03-09,SH600015,SH601077,SH601006,SH603195,SH601816,SH600036,SH600926,SH601628,SH601398,SH601328,SH600016,SH601988,SH600941,SH600018,SZ002252,SH600919,SH601818,SZ000538,SH601658,SH601825,0.008659252896904945,0.006361842,0.55,0.007559252896904945,1.0086178420500511,1.0192918,1.0086178420500511,0.0
2,2026-03-10,SZ300782,SZ002311,SH600015,SH601006,SH600919,SH600036,SZ000895,SH601825,SH600066,SZ000425,SH601166,SH600941,SH600926,SH600025,SZ002371,SH600016,SH600900,SH603195,SH601009,SZ000999,0.0015259056817740202,-0.0036008358,0.8,-7.409431822597988e-05,1.0085431091986938,1.0156214,1.0086178420500511,-7.40943182260063e-05
3,2026-03-11,SH603195,SH600015,SH601816,SH688009,SH601818,SH601328,SZ002415,SH601669,SH601658,SH600233,SH600887,SZ000538,SZ002736,SH600036,SZ000333,SH601939,SH600941,SH600674,SH600600,SH600050,0.008300739340484142,-0.0039295554,0.7,0.006900739340484142,1.0155028023089154,1.0116305,1.0155028023089154,0.0
4,2026-03-12,SH601328,SH601816,SH600919,SH600690,SH601658,SH601009,SH600016,SH600900,SH601398,SH600036,SZ000895,SZ002252,SH601229,SH601668,SH601166,SH600015,SH601169,SH600018,SH601998,SH601818,0.0031272410415112972,0.000518322,0.4,0.0023272410415112973,1.0178661221082186,1.0121549,1.0178661221082186,0.0
5,2026-03-13,SH601816,SH601838,SH600919,SH600900,SH600600,SH600887,SH601169,SH601009,SH600016,SH600036,SH601818,SH601398,SH601166,SH601658,SZ300999,SH600690,SZ000999,SZ000100,SZ000725,SZ300014,0.0016963183879852295,-0.0073037744,0.7,0.0002963183879852295,1.0181677345567064,1.0047624,1.0181677345567064,0.0
6,2026-03-16,SH601838,SH601100,SH601009,SZ000333,SH603019,SZ000063,SH601006,SZ002594,SH600023,SH603259,SH601816,SH600027,SZ002422,SH601166,SH600016,SH600900,SH601236,SH601916,SH601229,SZ300750,0.0005272060516290367,0.0045046806,0.8,-0.0010727939483709634,1.0170754503726473,1.0092885,1.0181677345567064,-0.0010727939483709994
7,2026-03-17,SH601838,SH600048,SH603195,SH600690,SZ000538,SH600660,SH600941,SZ000999,SH601229,SH601939,SH600900,SZ000983,SH601169,SZ002371,SH600023,SH600919,SH600377,SH600036,SH601818,SH600741,-0.004791045095771551,-0.016117394,0.55,-0.005891045095771551,1.0110838130286999,0.9930214,1.0181677345567064,-0.006957519166614275
8,2026-03-18,SH600023,SH600941,SH600025,SH600919,SH601009,SH601818,SH601939,SH601988,SH600016,SH600027,SH600900,SH600036,SH600018,SH601916,SH600887,SH601328,SH601816,SH601166,SH601229,SH600377,-0.004924810025840998,-0.0035411716,0.35,-0.005624810025840998,1.0053966586602106,0.989505,1.0181677345567064,-0.012543194468891867
9,2026-03-19,SH600941,SH600025,SH600919,SH601229,SH600023,SH601328,SH600036,SZ000538,SH601009,SZ000895,SH601988,SH600900,SH601166,SZ000651,SH601658,SH601816,SH603195,SH600600,SH601006,SH600027,-0.029570404440164566,-0.03262955,0.35,-0.030270404440164565,0.9749628951797759,0.9572179,1.0181677345567064,-0.04243391133951148
10,2026-03-20,SH600023,SH601916,SH600027,SH600919,SZ000538,SZ300498,SH600025,SZ001965,SH600036,SH601166,SZ000895,SH600900,SH601838,SH600887,SH601006,SH601229,SH600905,SH603195,SH600377,SH601328,0.018712187185883522,0.012838483,0.45,0.01781218718588352,0.9923291167680091,0.9695071,1.0181677345567064,-0.025377564925436427
11,2026-03-23,SH600674,SH601006,SH600900,SH600886,SH600905,SZ002459,SZ300498,SH601012,SH601998,SH600027,SH600023,SH601985,SH601838,SH601939,SZ300014,SZ001965,SZ000983,SH601166,SH601328,SH600036,0.0073285698890686035,0.014023185,0.4,0.006528569889068603,0.9988076067597869,0.9831027,1.0181677345567064,-0.019014674242597777
12,2026-03-24,SZ001965,SH600900,SH600036,SH601166,SH600015,SZ000895,SH600919,SH601328,SH600023,SZ002422,SH600674,SH601939,SH601006,SH601916,SH601998,SH601818,SZ300498,SZ000538,SH601988,SH600886,0.0031263798009604216,-0.013209939,0.55,0.0020263798009604213,1.0008315703191704,0.97011596,1.0181677345567064,-0.017026825393444547
13,2026-03-25,SZ300661,SH601916,SH600900,SH601166,SH600015,SH600036,SZ003816,SH601838,SH601939,SH601825,SH601236,SZ002459,SZ000001,SH600919,SH601006,SH601328,SH600018,SZ000651,SH600918,SH601985,-0.002355232834815979,0.005592346,0.4,-0.003155232834815979,0.9976737136863788,0.9755412,1.0181677345567064,-0.02012833462970652
