,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-06,SH600176,SH688396,SZ300442,SZ300394,SH600016,SH600489,SH688256,SH601169,SZ002028,SZ300316,SZ002493,SH600029,SH600377,SH601229,SH603986,SZ300408,SZ000157,SZ300274,SZ000338,SH600547,0.022299623116850853,0.012848139,0.6,0.021099623116850853,1.0210996231168508,1.0128481,1.0210996231168508,0.0
1,2026-03-09,SZ300394,SH688256,SH688082,SH601877,SH688396,SH600522,SH601888,SH600015,SZ300316,SH600115,SH688111,SH600406,SH600029,SH601077,SH603993,SH600176,SH601601,SZ300408,SH601006,SH600489,-0.003178805112838745,0.006361842,0.65,-0.004478805112838745,1.0165263169041174,1.0192918,1.0210996231168508,-0.0044788051128386115
2,2026-03-10,SH600893,SH600029,SH600188,SH600115,SH600176,SZ002028,SZ002001,SH601898,SH601111,SZ300782,SZ002493,SH600522,SH601888,SH688223,SH600482,SZ002311,SH600015,SH600000,SH601018,SH688082,0.0009395718807354569,-0.0036008358,0.8,-0.0006604281192645431,1.0158549743404615,1.0156214,1.0210996231168508,-0.0051362753032660035
3,2026-03-11,SH601872,SH600026,SZ002709,SZ300274,SH601018,SH600115,SH603195,SH600029,SH600015,SH601816,SH688009,SH600010,SH601818,SZ300661,SH601328,SH600875,SZ002415,SH601669,SH601658,SH601808,-0.0027995496056973934,-0.0039295554,0.8,-0.004399549605697393,1.011385669988656,1.0116305,1.0210996231168508,-0.009513227610978215
4,2026-03-12,SH600893,SH600029,SH600482,SH600115,SH600346,SZ002493,SH600875,SH601872,SH600176,SH603993,SH688396,SZ300394,SZ300251,SZ002001,SZ300408,SH600188,SH600522,SZ000301,SZ300442,SH603986,-0.006814712192863226,0.000518322,0.3,-0.007414712192863226,1.003886536329704,1.0121549,1.0210996231168508,-0.016857401959080857
5,2026-03-13,SH688396,SZ300394,SH600482,SH600893,SH600026,SZ002001,SH600176,SH600029,SH600522,SH600875,SH601872,SH600115,SZ002938,SZ300251,SZ000792,SH601117,SZ300442,SZ002028,SZ002493,SH601816,-0.02741062082350254,-0.0073037744,0.55,-0.02851062082350254,0.9752651079425886,1.0047624,1.0210996231168508,-0.04488740778725863
6,2026-03-16,SH600875,SH600482,SH600176,SZ300394,SH600893,SZ000338,SH688396,SH600115,SH603993,SH688506,SH600010,SH601838,SH600029,SH601100,SH601888,SZ300418,SH688256,SZ300316,SZ002028,SH601009,0.012134927324950695,0.0045046806,0.65,0.010834927324950694,0.9858320345097067,1.0092885,1.0210996231168508,-0.03453883226348834
7,2026-03-17,SZ002001,SH600482,SH601877,SH600522,SH600875,SZ300394,SH600188,SH600176,SZ001979,SH600029,SH601111,SH601838,SH600010,SH600048,SH603195,SZ002648,SH600690,SZ000538,SH600660,SH600941,-0.019912108778953552,-0.016117394,0.55,-0.021012108778953553,0.9651176245628117,0.9930214,1.0210996231168508,-0.0548252073418234
8,2026-03-18,SZ300394,SH600188,SH600522,SZ002001,SH601898,SH603993,SH600176,SH600482,SH600362,SZ300251,SH600029,SH601888,SH601877,SH688223,SZ002493,SH688396,SH600023,SH600941,SH601018,SH600115,-0.004457399249076843,-0.0035411716,0.3,-0.005057399249076843,0.9602366394130769,0.989505,1.0210996231168508,-0.05960533362845921
9,2026-03-19,SH600522,SZ300394,SH600188,SH600029,SH600176,SZ000630,SH600115,SH600875,SH603993,SH600362,SH600489,SZ002493,SH600482,SH603799,SH601877,SZ002001,SZ300251,SH600941,SH600025,SH600919,-0.03448667377233505,-0.03262955,0.35,-0.03518667377233505,0.9264491060378056,0.9572179,1.0210996231168508,-0.0926946939713185
