,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-06,SH600176,SH688396,SZ300442,SZ300394,SH600016,SH600489,SH688256,SH601169,SZ002028,SZ300316,SZ002493,SH600029,SH600377,SH601229,SH603986,SZ300408,SZ000157,SZ300274,SZ000338,SH600547,SH688082,SH601009,SH600015,SH601899,SH688187,SZ002142,SZ000630,SH601077,SH601328,SH601939,0.016355684027075768,0.012848139,0.6,0.015155684027075768,1.0151556840270757,1.0128481,1.0151556840270757,0.0
1,2026-03-09,SZ300394,SH688256,SH688082,SH601877,SH688396,SH600522,SH601888,SH600015,SZ300316,SH600115,SH688111,SH600406,SH600029,SH601077,SH603993,SH600176,SH601601,SZ300408,SH601006,SH600489,SH601336,SH603195,SH601816,SH600036,SZ000630,SZ002938,SH688008,SH600926,SH600183,SH601111,-0.002624203683808446,0.006361842,0.6666666666666666,-0.003957537017141779,1.0111381678293767,1.0192918,1.0151556840270757,-0.003957537017141711
2,2026-03-10,SH600893,SH600029,SH600188,SH600115,SH600176,SZ002028,SZ002001,SH601898,SH601111,SZ300782,SZ002493,SH600522,SH601888,SH688223,SH600482,SZ002311,SH600015,SH600000,SH601018,SH688082,SH600426,SZ000157,SH601006,SH600919,SZ000338,SH600036,SZ000895,SH601825,SH600066,SZ000425,-0.0021038393024355173,-0.0036008358,0.8,-0.003703839302435517,1.0073930745431776,1.0156214,1.0151556840270757,-0.007646718238432307
3,2026-03-11,SH601872,SH600026,SZ002709,SZ300274,SH601018,SH600115,SH603195,SH600029,SH600015,SH601816,SH688009,SH600010,SH601818,SZ300661,SH601328,SH600875,SZ002415,SH601669,SH601658,SH601808,SH600233,SZ300014,SH600887,SZ000538,SZ002736,SH600036,SZ000333,SH600176,SZ000792,SH601939,0.0001277406990993768,-0.0039295554,0.7666666666666667,-0.0014055926342339566,1.0059770902578213,1.0116305,1.0151556840270757,-0.009041562701834345
4,2026-03-12,SH600893,SH600029,SH600482,SH600115,SH600346,SZ002493,SH600875,SH601872,SH600176,SH603993,SH688396,SZ300394,SZ300251,SZ002001,SZ300408,SH600188,SH600522,SZ000301,SZ300442,SH603986,SH688256,SH601328,SH601816,SZ002028,SZ000338,SH600919,SZ300308,SH600362,SH600690,SH601138,-0.004285905975848436,0.000518322,0.4,-0.005085905975848437,1.0008607853629123,1.0121549,1.0151556840270757,-0.014081484139906633
5,2026-03-13,SH688396,SZ300394,SH600482,SH600893,SH600026,SZ002001,SH600176,SH600029,SH600522,SH600875,SH601872,SH600115,SZ002938,SZ300251,SZ000792,SH601117,SZ300442,SZ002028,SZ002493,SH601816,SZ300418,SH601838,SH600919,SH603993,SH600010,SH600900,SH600233,SH601888,SZ300274,SH600438,-0.021697096526622772,-0.0073037744,0.5,-0.022697096526622773,0.9781441515078189,1.0047624,1.0151556840270757,-0.036458971861767824
6,2026-03-16,SH600875,SH600482,SH600176,SZ300394,SH600893,SZ000338,SH688396,SH600115,SH603993,SH688506,SH600010,SH601838,SH600029,SH601100,SH601888,SZ300418,SH688256,SZ300316,SZ002028,SH601009,SZ000333,SH603019,SH600160,SZ002493,SZ000768,SZ002049,SZ300347,SZ000063,SH601006,SZ002600,0.01038607768714428,0.0045046806,0.7333333333333333,0.008919411020477613,0.9868686212323934,1.0092885,1.0151556840270757,-0.027864753396709383
7,2026-03-17,SZ002001,SH600482,SH601877,SH600522,SH600875,SZ300394,SH600188,SH600176,SZ001979,SH600029,SH601111,SH601838,SH600010,SH600048,SH603195,SZ002648,SH600690,SZ000538,SH600660,SH600941,SZ300408,SZ000999,SH600585,SH601229,SH601298,SH688223,SH601939,SH600900,SZ000983,SZ002493,-0.01778707653284073,-0.016117394,0.5666666666666667,-0.018920409866174062,0.9681966624346104,0.9930214,1.0151556840270757,-0.046257950707797806
8,2026-03-18,SZ300394,SH600188,SH600522,SZ002001,SH601898,SH603993,SH600176,SH600482,SH600362,SZ300251,SH600029,SH601888,SH601877,SH688223,SZ002493,SH688396,SH600023,SH600941,SH601018,SH600115,SH600025,SH600919,SH601868,SH601009,SH601818,SH601939,SH601988,SH600016,SH601111,SH600027,-0.006060363724827766,-0.0035411716,0.3333333333333333,-0.006727030391494433,0.9616835740614693,0.989505,1.0151556840270757,-0.052673802459032665
9,2026-03-19,SH600522,SZ300394,SH600188,SH600029,SH600176,SZ000630,SH600115,SH600875,SH603993,SH600362,SH600489,SZ002493,SH600482,SH603799,SH601877,SZ002001,SZ300251,SH600941,SH600025,SH600919,SH601229,SH605117,SH601888,SH600023,SH600219,SH600010,SH601868,SH601328,SH600036,SH601018,-0.0319640077650547,-0.03262955,0.4,-0.032764007765054705,0.9301749659733938,0.9572179,1.0151556840270757,-0.08371200535130466
