,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-06,SH600016,SH601169,SH600377,SH601229,SH601009,SH600015,SH601077,SH601328,SH601939,SH601166,SH601825,SH600941,SH601236,SH601816,SH601916,SZ000895,SH600919,SZ002736,SH600926,SH601658,SH601006,SH600600,SH601998,SZ002252,SH601988,SH601668,SH600036,SH603259,SH601398,SH601628,SZ002179,SH601818,SZ300750,SZ001965,SZ000425,SZ000001,SH600741,SZ000983,SH601838,SH600150,SH688009,SH600760,SH600018,SH688271,SH603195,SH600900,SZ000538,SZ002459,SH601456,SZ000063,0.006810394581407309,0.012848139,0.32,0.006170394581407309,1.0061703945814073,1.0128481,1.0061703945814073,0.0
1,2026-03-09,SH600015,SH601077,SH601006,SH603195,SH601816,SH600036,SH600926,SH601628,SH601398,SH601328,SH600016,SH601988,SH600941,SH600018,SZ002252,SH600919,SH601818,SZ000538,SH601658,SH601825,SH601088,SH601998,SZ000725,SH600674,SH601618,SH601169,SH600377,SH600050,SH601607,SH601838,SH601236,SH600887,SH600600,SH601229,SZ000999,SH600023,SH600019,SH601916,SH600025,SH600027,SH601668,SH600150,SH601766,SH601009,SZ002459,SZ002352,SH600104,SH600900,SH601186,SZ000001,0.009561091661453247,0.006361842,0.42,0.008721091661453247,1.0149452988195924,1.0192918,1.0149452988195924,0.0
2,2026-03-10,SZ300782,SZ002311,SH600015,SH601006,SH600919,SH600036,SZ000895,SH601825,SH600066,SZ000425,SH601166,SH600941,SH600926,SH600025,SZ002371,SH600016,SH600900,SH603195,SH601009,SZ000999,SH601077,SH600887,SH601169,SH601328,SZ000651,SH601816,SH601838,SH601916,SH600674,SH601229,SH600377,SH600600,SH600018,SH600233,SZ000063,SZ002352,SZ000876,SH600196,SH600741,SH601818,SZ002422,SH601985,SH603288,SZ002074,SH601988,SH600039,SH600660,SZ000100,SZ300896,SH601668,0.0022328232880681753,-0.0036008358,0.46,0.0013128232880681753,1.016277742643998,1.0156214,1.016277742643998,0.0
3,2026-03-11,SH603195,SH600015,SH601816,SH688009,SH601818,SH601328,SZ002415,SH601669,SH601658,SH600233,SH600887,SZ000538,SZ002736,SH600036,SZ000333,SH601939,SH600941,SH600674,SH600600,SH600050,SZ002352,SZ000001,SH600016,SH601166,SZ000651,SH601398,SH601236,SH600377,SZ000425,SH600025,SZ000100,SZ000166,SZ000708,SH600019,SZ000725,SH601318,SH600161,SH601916,SH600918,SH601825,SH601169,SH600900,SH601319,SZ002252,SH600926,SH600196,SZ000895,SH601607,SZ002311,SH601788,0.002673496026545763,-0.0039295554,0.42,0.001833496026545763,1.0181410838470026,1.0116305,1.0181410838470026,0.0
4,2026-03-12,SH601328,SH601816,SH600919,SH600690,SH601658,SH601009,SH600016,SH600900,SH601398,SH600036,SZ000895,SZ002252,SH601229,SH601668,SH601166,SH600015,SH601169,SH600018,SH601998,SH601818,SZ000999,SH600887,SH601939,SH600660,SZ000001,SH600050,SZ002352,SZ000333,SH600600,SH600674,SH601825,SH600019,SH600741,SZ000708,SH603195,SH601838,SH601238,SH600941,SZ002459,SH603288,SH601988,SH600025,SH601633,SH603259,SH600161,SH600886,SZ001965,SH601077,SZ002736,SZ000977,-0.0010545087279751897,0.000518322,0.26,-0.0015745087279751897,1.0165380118241754,1.0121549,1.0181410838470026,-0.0015745087279752424
5,2026-03-13,SH601816,SH601838,SH600919,SH600900,SH600600,SH600887,SH601169,SH601009,SH600016,SH600036,SH601818,SH601398,SH601166,SH601658,SZ300999,SH600690,SZ000999,SZ000100,SZ000725,SZ300014,SZ000708,SZ000538,SH600926,SZ000001,SH603195,SH601988,SZ000895,SH600741,SH600031,SH601668,SH601939,SZ000977,SH600660,SH601229,SZ002415,SH601328,SH601607,SZ000333,SH600018,SZ000983,SH600161,SZ000876,SH600019,SZ002311,SH601238,SZ002459,SH603288,SH600015,SH600377,SH603259,0.0007932722801342607,-0.0073037744,0.48,-0.00016672771986573937,1.016368526759307,1.0047624,1.0181410838470026,-0.0017409739335909177
6,2026-03-16,SH601838,SH601100,SH601009,SZ000333,SH603019,SZ000063,SH601006,SZ002594,SH600023,SH603259,SH601816,SH600027,SZ002422,SH601166,SH600016,SH600900,SH601236,SH601916,SH601229,SZ300750,SH600036,SH600600,SH600941,SH600741,SH601238,SH603260,SH600919,SZ002179,SH600887,SH603296,SH600015,SH601169,SZ000876,SH600018,SH600031,SH688009,SH600660,SZ000425,SH600690,SH600025,SH601818,SZ000858,SZ300782,SH601607,SH603288,SH600104,SZ002074,SZ000651,SH600377,SZ300498,-0.001580854644998908,0.0045046806,0.46,-0.002500854644998908,1.0138267368081302,1.0092885,1.0181410838470026,-0.004237474655841292
7,2026-03-17,SH601838,SH600048,SH603195,SH600690,SZ000538,SH600660,SH600941,SZ000999,SH601229,SH601939,SH600900,SZ000983,SH601169,SZ002371,SH600023,SH600919,SH600377,SH600036,SH601818,SH600741,SH601668,SZ300015,SH600016,SZ002352,SH600887,SH601816,SZ000651,SH601328,SH600809,SH600085,SH601012,SZ003816,SZ000333,SH601006,SZ002415,SH600600,SZ300896,SH600025,SZ000858,SH601825,SH601658,SH601916,SZ000876,SH600027,SH600009,SH601319,SZ000001,SH600015,SH601236,SH601618,-0.007121077738702297,-0.016117394,0.4,-0.007921077738702298,1.005796136412298,0.9930214,1.0181410838470026,-0.01212498702837896
8,2026-03-18,SH600023,SH600941,SH600025,SH600919,SH601009,SH601818,SH601939,SH601988,SH600016,SH600027,SH600900,SH600036,SH600018,SH601916,SH600887,SH601328,SH601816,SH601166,SH601229,SH600377,SH601236,SH600600,SZ000895,SH600674,SH601169,SH603195,SH600050,SH600926,SZ000538,SZ003816,SH601838,SH601607,SH601658,SH601398,SZ300498,SH601006,SH600918,SZ000651,SH600015,SH601077,SZ000333,SZ001965,SH601825,SH600905,SH600031,SZ000166,SZ002311,SH601766,SZ000708,SH601012,-0.004263139795511961,-0.0035411716,0.22,-0.004703139795511961,1.0010657365769653,0.989505,1.0181410838470026,-0.016771101314877575
9,2026-03-19,SH600941,SH600025,SH600919,SH601229,SH600023,SH601328,SH600036,SZ000538,SH601009,SZ000895,SH601988,SH600900,SH601166,SZ000651,SH601658,SH601816,SH603195,SH600600,SH601006,SH600027,SZ300750,SH601916,SH601077,SH600050,SH601939,SH601818,SH600905,SH601838,SH601169,SH600377,SH600887,SH600674,SH600018,SH601668,SZ003816,SZ001965,SH601236,SH600016,SH601825,SH600015,SH600066,SZ002459,SH601728,SH601012,SH600886,SH600741,SH601985,SZ002422,SH600104,SH601633,-0.02569810301065445,-0.03262955,0.22,-0.02613810301065445,0.9748997772338799,0.9572179,1.0181410838470026,-0.042470839551761654
