,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-06,SH600176,SH688396,SZ300442,SZ300394,SH600016,SH600489,SH688256,SH601169,SZ002028,SZ300316,SZ002493,SH600029,SH600377,SH601229,SH603986,SZ300408,SZ000157,SZ300274,SZ000338,SH600547,SH688082,SH601009,SH600015,SH601899,SH688187,SZ002142,SZ000630,SH601077,SH601328,SH601939,SH601166,SZ000975,SH601111,SZ000408,SH601825,SH600941,SZ300308,SH600115,SH600346,SH601236,SH601816,SH688008,SH601916,SH601898,SZ000895,SH600893,SH600919,SH600482,SH600000,SZ002736,SH600926,SH601658,SH601006,SZ002001,SZ300433,SH600600,SH688111,SH601998,SH601336,SH600188,SZ002252,SH601018,SH601988,SH601668,SH600036,SZ002601,SH603259,SH601398,SH600875,SH601628,SH600111,SZ002179,SH601818,SZ300750,SZ001965,SZ300251,SZ000425,SZ000001,SH601021,SH600741,0.010977379977703094,0.012848139,0.4125,0.010152379977703095,1.010152379977703,1.0128481,1.010152379977703,0.0
1,2026-03-09,SZ300394,SH688256,SH688082,SH601877,SH688396,SH600522,SH601888,SH600015,SZ300316,SH600115,SH688111,SH600406,SH600029,SH601077,SH603993,SH600176,SH601601,SZ300408,SH601006,SH600489,SH601336,SH603195,SH601816,SH600036,SZ000630,SZ002938,SH688008,SH600926,SH600183,SH601111,SH601018,SH601628,SH601398,SH603799,SH600362,SH601328,SH600016,SH601988,SH601166,SH600941,SH600018,SZ002252,SZ300433,SH600919,SH601818,SH601021,SZ000538,SH601658,SH605117,SZ300442,SZ002916,SH601825,SZ002142,SZ002475,SH601088,SH601998,SZ000725,SH600674,SH601618,SH601169,SH601288,SZ300308,SH600377,SH600050,SH601607,SH601899,SH601838,SZ001979,SH600160,SH601728,SH601236,SH600887,SH600600,SH601229,SZ000999,SH600023,SH600019,SH601916,SH600025,SH600027,0.0039358423091471195,0.006361842,0.4625,0.0030108423091471195,1.0131937895020255,1.0192918,1.0131937895020255,0.0
2,2026-03-10,SH600893,SH600029,SH600188,SH600115,SH600176,SZ002028,SZ002001,SH601898,SH601111,SZ300782,SZ002493,SH600522,SH601888,SH688223,SH600482,SZ002311,SH600015,SH600000,SH601018,SH688082,SH600426,SZ000157,SH601006,SH600919,SZ000338,SH600036,SZ000895,SH601825,SH600066,SZ000425,SH601166,SH600941,SH688012,SH600926,SZ300661,SH600025,SZ002371,SH600016,SH600900,SH603195,SZ000301,SH601009,SZ000999,SZ300394,SH601077,SH600309,SZ002709,SH688396,SH600887,SH601169,SH603799,SH688187,SH601328,SH603993,SZ000651,SH603986,SZ002142,SH601816,SH600160,SH601838,SH601916,SH600674,SH601229,SH600346,SH600377,SH600600,SH600018,SH600233,SZ000063,SH601288,SZ002352,SH600362,SZ000876,SH600196,SZ300832,SH601021,SH600741,SZ000963,SZ002916,SH601818,-0.0020721033215522766,-0.0036008358,0.5125,-0.0030971033215522765,1.0100558236511827,1.0156214,1.0131937895020255,-0.0030971033215522214
3,2026-03-11,SH601872,SH600026,SZ002709,SZ300274,SH601018,SH600115,SH603195,SH600029,SH600015,SH601816,SH688009,SH600010,SH601818,SZ300661,SH601328,SH600875,SZ002415,SH601669,SH601658,SH601808,SH600233,SZ300014,SH600887,SZ000538,SZ002736,SH600036,SZ000333,SH600176,SZ000792,SH601939,SH600941,SH600674,SH600600,SZ002142,SH600050,SZ002352,SZ000001,SH600016,SH601166,SZ000651,SH600346,SH601398,SH601236,SH600377,SH601111,SH600111,SZ300408,SZ000425,SH600025,SZ300251,SH688472,SH601728,SZ000100,SZ000166,SZ000708,SH600019,SZ000725,SH601318,SH600161,SH601916,SH600918,SH601825,SH601169,SH688047,SH600900,SH601319,SZ002252,SH600926,SH600196,SZ000157,SZ000895,SH600588,SH601607,SZ002311,SH601788,SZ000301,SH601998,SH601456,SZ300394,SH601838,-0.002322013024240732,-0.0039295554,0.4875,-0.0032970130242407324,1.0067256564453946,1.0116305,1.0131937895020255,-0.006383905155804386
4,2026-03-12,SH600893,SH600029,SH600482,SH600115,SH600346,SZ002493,SH600875,SH601872,SH600176,SH603993,SH688396,SZ300394,SZ300251,SZ002001,SZ300408,SH600188,SH600522,SZ000301,SZ300442,SH603986,SH688256,SH601328,SH601816,SZ002028,SZ000338,SH600919,SZ300308,SH600362,SH600690,SH601138,SH688008,SH601021,SH601888,SH601658,SH601009,SH600016,SH600900,SH601398,SH600036,SH688111,SZ300347,SZ000895,SH600026,SZ002252,SH601229,SH601668,SH601166,SH600015,SH601169,SZ300832,SH688082,SH600018,SH601117,SZ002938,SZ000792,SH601998,SH601818,SZ000999,SH601728,SH603799,SH600887,SH601939,SH600660,SH601018,SZ000001,SH600050,SZ002352,SH600276,SH601698,SH601288,SZ000333,SH600585,SH600600,SH600674,SZ002142,SH601825,SH600019,SH600741,SZ000708,SH603195,-0.0034675695933401585,0.000518322,0.2875,-0.0040425695933401585,1.002655897917813,1.0121549,1.0131937895020255,-0.010400667368274873
5,2026-03-13,SH688396,SZ300394,SH600482,SH600893,SH600026,SZ002001,SH600176,SH600029,SH600522,SH600875,SH601872,SH600115,SZ002938,SZ300251,SZ000792,SH601117,SZ300442,SZ002028,SZ002493,SH601816,SZ300418,SH601838,SH600919,SH603993,SH600010,SH600900,SH600233,SH601888,SZ300274,SH600438,SH600600,SH600887,SH601169,SH605499,SH601009,SH600016,SH600036,SZ002916,SZ000338,SH688008,SH601288,SH601818,SH601398,SH601021,SH601166,SH601658,SZ300999,SH688082,SH600690,SH600362,SZ000999,SZ000100,SZ000725,SH688256,SZ000963,SZ300014,SZ000708,SZ000538,SH600926,SH600585,SZ000001,SH603195,SH601988,SZ000895,SZ002460,SH603986,SH600741,SH600031,SZ300316,SH601668,SH601939,SH688506,SZ000977,SH600660,SH601229,SZ002415,SH601328,SH601607,SZ000333,SH600018,-0.008873311802744865,-0.0073037744,0.5125,-0.009898311802744865,0.9927312972093614,1.0047624,1.0131937895020255,-0.020196030122451972
6,2026-03-16,SH600875,SH600482,SH600176,SZ300394,SH600893,SZ000338,SH688396,SH600115,SH603993,SH688506,SH600010,SH601838,SH600029,SH601100,SH601888,SZ300418,SH688256,SZ300316,SZ002028,SH601009,SZ000333,SH603019,SH600160,SZ002493,SZ000768,SZ002049,SZ300347,SZ000063,SH601006,SZ002600,SZ002594,SH600023,SH603259,SH601816,SH600027,SZ000157,SZ300033,SH600795,SZ002422,SH600276,SH601166,SZ002001,SH601018,SH600016,SH688041,SZ002241,SH600900,SH601236,SH601916,SZ300433,SH601229,SZ300979,SH600585,SZ000596,SZ300750,SH600489,SH600036,SH600600,SZ002475,SH600522,SH600941,SH600741,SH601238,SH603260,SH601698,SH600919,SZ002179,SH600570,SH600887,SH603296,SH688082,SH688169,SH600233,SZ300661,SZ300442,SH600015,SH601601,SH601169,SZ000876,SH600018,0.004577981773763895,0.0045046806,0.6125,0.0033529817737638946,0.9960599071551494,1.0092885,1.0131937895020255,-0.016910765269591035
7,2026-03-17,SZ002001,SH600482,SH601877,SH600522,SH600875,SZ300394,SH600188,SH600176,SZ001979,SH600029,SH601111,SH601838,SH600010,SH600048,SH603195,SZ002648,SH600690,SZ000538,SH600660,SH600941,SZ300408,SZ000999,SH600585,SH601229,SH601298,SH688223,SH601939,SH600900,SZ000983,SZ002493,SH601169,SH600346,SZ000596,SZ002371,SH603993,SH600023,SH600919,SH601021,SH600377,SZ002938,SH600036,SZ002601,SH601669,SH601818,SH688981,SH600938,SH688082,SH600741,SZ002920,SH688303,SH601668,SZ300015,SH601018,SH600016,SZ002352,SH600887,SH600893,SH601868,SZ300308,SZ000807,SH601816,SZ002241,SH600415,SZ000651,SH601328,SH600809,SH601088,SH600085,SZ000630,SH601012,SH601808,SZ000568,SZ003816,SZ000333,SH603369,SH601006,SH601898,SH600309,SZ002415,SH600115,-0.015864327549934387,-0.016117394,0.4375,-0.016739327549934388,0.9793865341099222,0.9930214,1.0131937895020255,-0.033367017980557606
8,2026-03-18,SZ300394,SH600188,SH600522,SZ002001,SH601898,SH603993,SH600176,SH600482,SH600362,SZ300251,SH600029,SH601888,SH601877,SH688223,SZ002493,SH688396,SH600023,SH600941,SH601018,SH600115,SH600025,SH600919,SH601868,SH601009,SH601818,SH601939,SH601988,SH600016,SH601111,SH600027,SH603799,SH600900,SH600036,SH600018,SH600875,SH601916,SH600515,SH600887,SH601088,SH601328,SH601816,SZ000157,SH601166,SH601229,SH600377,SH601872,SH601236,SH600600,SZ300316,SZ000895,SZ000630,SH600674,SH601169,SH603195,SH600050,SH600926,SZ000538,SZ003816,SH601838,SH601607,SH601658,SH600010,SH600489,SH601398,SH600219,SZ300347,SH600585,SZ300498,SH600938,SH601006,SH600918,SH600000,SZ000651,SH600015,SH601059,SH601077,SZ000333,SZ000792,SH600893,SZ002241,-0.006936239544302225,-0.0035411716,0.225,-0.007386239544302225,0.9721525505625224,0.989505,1.0131937895020255,-0.04050680073717638
9,2026-03-19,SH600522,SZ300394,SH600188,SH600029,SH600176,SZ000630,SH600115,SH600875,SH603993,SH600362,SH600489,SZ002493,SH600482,SH603799,SH601877,SZ002001,SZ300251,SH600941,SH600025,SH600919,SH601229,SH605117,SH601888,SH600023,SH600219,SH600010,SH601868,SH601328,SH600036,SH601018,SZ000538,SH601009,SZ000895,SH688396,SH601988,SH600900,SH601166,SZ000651,SH601658,SZ300316,SH601816,SZ002384,SH601600,SH603195,SH600600,SH601006,SH600027,SH688223,SH601111,SZ300750,SH600026,SH601916,SH601898,SH600547,SH601077,SH600050,SH601939,SH601818,SH600905,SH601838,SH601021,SH688169,SZ000301,SH601169,SH688082,SH600377,SH600887,SH600674,SH600018,SZ002049,SZ000338,SH600233,SH601668,SZ003816,SZ001965,SH601899,SZ000807,SH601236,SH600016,SH600893,-0.03218919038772583,-0.03262955,0.2375,-0.03266419038772583,0.9403979745650348,0.9572179,1.0131937895020255,-0.07184786927362546
10,2026-03-20,SZ002493,SH600875,SZ002001,SH600115,SH603993,SH600522,SH600489,SH600482,SH600176,SH603799,SZ300442,SZ000301,SZ000630,SH600029,SZ002384,SH600219,SH600111,SZ300251,SZ000338,SH600026,SZ000807,SH601600,SH600893,SH601868,SH601888,SH600188,SH601698,SH600989,SH688396,SH600023,SZ002601,SH601916,SH601898,SH600027,SH688082,SH600426,SH600919,SZ000538,SH600362,SH600010,SZ300498,SH600025,SZ001965,SH600036,SH601166,SH601111,SZ000895,SZ300316,SH600900,SH601877,SH601018,SH601838,SZ002709,SZ300866,SH600887,SH600547,SH601899,SH601006,SH601229,SH600905,SH603195,SH600377,SH600000,SH601328,SH601988,SH601939,SH601009,SH600233,SZ002916,SH600346,SZ002714,SZ002648,SZ002422,SH600015,SZ003816,SZ000975,SH688472,SH601658,SZ000999,SH688169,0.017886588349938393,0.012838483,0.3375,0.017211588349938394,0.956583717388364,0.9695071,1.0131937895020255,-0.055872896873444926
