,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SZ000938,0.06266156381320814,0.7777777777777778,,,,,,2026-04-22,0.08720926,0.10610466,0.8219174,0.016351797,0.15411007,0.0025435963,0.023972524,0.07340106,0.69177985,0.91978616,1.0150402,0.91744655,0.9898787,0.91841036,0.8843327,0.8589618,0.83288866,0.9297852,0.9473763,0.9338717,0.8902214,0.88061917,0.86169857,0.031296935,0.027760603,0.051152132,0.045519184,0.04199633,0.011931841,0.0062228795,0.0073392303,0.0034851355,0.0011149368,0.36337185,0.46061325,0.72051257,0.4543098,0.2149699,0.028759995,0.038125373,0.040055882,0.068846375,0.10541077,1.0150402,1.0150402,1.0150402,1.0150402,1.0150402,0.9124031,0.8699691,0.79709965,0.79709965,0.7763707,0.95959365,0.94496095,0.93267804,0.9233722,0.88975334,0.92519784,0.9158077,0.8401723,0.8426345,0.83139074,1.0,1.0,1.0,1.0,1.0,0.85346276,0.8963256,0.9309896,0.9309896,0.93698335,1.0,1.0,1.0,1.0,1.0,0.8,0.1,0.2,0.46666667,0.48333332,0.2,0.9,0.8,0.53333336,0.51666665,0.9781943,0.70539784,0.8133125,0.77808875,0.75070477,0.96959674,0.9522298,0.8418701,0.82279664,0.6887793,0.6,0.6,0.55,0.53333336,0.45,0.4,0.4,0.45,0.46666667,0.55,0.2,0.2,0.1,0.06666667,-0.1,0.7532696,0.73510957,0.64739263,0.61375225,0.53185797,0.2467304,0.2648904,0.35260734,0.38624775,0.46814206,0.50653917,0.47021917,0.2947853,0.22750448,0.06371588,0.49980244,0.49676016,0.39659128,0.383117,0.27854535,0.28866503,0.20526567,0.18131799,0.17031465,0.16467388,1.4363878,1.4489852,1.4099793,1.2757902,1.6201822,0.75392,0.6666573,0.6328027,0.5992081,0.5495806,0.24607997,0.33334267,0.36719728,0.4007919,0.45041946,0.5078401,0.33331466,0.26560545,0.1984162,0.0991611
1,SH601995,0.04469415014609151,1.0,,,,SH601995,中金公司,2026-04-22,0.0061965454,0.017409269,0.3559337,0.0070816926,0.40677714,0.0041310303,0.23728915,0.0032458832,0.1864457,0.9938416,1.0070381,0.989736,1.0003884,0.9809117,0.96495724,0.95384616,1.0048432,1.0273504,0.99504274,0.98447293,0.9685755,0.975641,0.99686605,0.0029304663,0.014320309,0.019972794,0.022225339,0.0274062,0.0012535653,0.0042147967,0.0028305813,-0.00029871715,-0.0011942537,0.45746776,0.79407215,0.70297784,0.01399991,0.57915574,0.002450153,-0.0034395047,0.0045339987,0.028690394,0.03836441,1.0070381,1.0070381,1.0070381,1.0114285,1.0392734,0.987591,0.9497991,0.9361153,0.9361153,0.9361153,0.9958974,0.99464387,0.99270654,0.9984045,1.0205698,0.9930484,0.9782336,0.94985753,0.951453,0.96427345,1.0,1.0,1.0,0.8333333,0.44166666,0.63808984,0.8770404,0.9007641,0.84825367,0.6192891,1.0,1.0,1.0,0.16666667,0.083333336,0.4,0.1,0.45,0.6333333,0.81666666,0.6,0.9,0.55,-0.46666667,-0.73333335,0.6297133,0.14347334,0.5418,0.4588475,0.6029484,0.97300047,0.8070736,0.7123539,0.3421483,0.27356213,0.6,0.6,0.5,0.46666667,0.46666667,0.4,0.4,0.5,0.5,0.51666665,0.2,0.2,0.0,-0.033333335,-0.05,0.9135811,0.7393001,0.63149357,0.4902635,0.4671233,0.086418934,0.26069993,0.36850646,0.50973654,0.5328767,0.82716215,0.4786001,0.2629871,-0.019473016,-0.06575338,0.8317672,0.846526,0.73697716,0.8335655,1.0377136,0.20287594,0.31925443,0.26910755,0.3045885,0.41522136,1.3209474,1.3092288,1.1440626,1.4861534,1.279661,0.66622365,0.50211203,0.51734704,0.5221444,0.49959478,0.33377638,0.49788794,0.482653,0.47785565,0.50040525,0.33244726,0.004224114,0.034694027,0.04428871,-0.0008104516
2,SH603392,0.04012059157432515,0.4444444444444444,,,,SH603392,万泰生物,2026-04-22,0.0015439445,0.008492015,0.1818113,0.0015440515,0.18182391,0.0054040197,0.63636476,0.0054039126,0.6363522,0.99845845,1.0015416,0.99306273,0.99749196,1.0123578,1.0295165,1.0338727,1.0153805,1.14287,1.0153095,1.0079125,1.0133891,1.0200629,1.0448762,0.016480546,0.015009188,0.016212713,0.017650556,0.047917403,-0.0036451106,0.0021983662,-0.00070856337,-0.0010823224,-0.0020972763,0.1222977,0.19665143,0.06685195,0.29140586,0.5842847,-0.008019212,-0.01780522,-0.0066577434,-0.0043691956,0.016993482,1.0477837,1.0477837,1.0477837,1.0688615,1.2070698,0.99306273,0.97942424,0.97942424,0.97942424,0.9725373,1.0235953,1.0136914,1.0266715,1.0360954,1.0760669,1.0036985,0.9991821,0.9991821,1.0040897,1.0066857,0.2,0.3,0.25,0.16666667,0.13333334,0.12677512,0.30099377,0.30099377,0.23005824,0.117095575,0.6,0.8,0.9,0.16666667,0.083333336,1.0,0.4,0.7,0.8,0.43333334,-0.4,0.4,0.2,-0.6333333,-0.35,0.39601457,0.3913718,0.35269567,0.22744074,0.55033785,-0.07674118,-0.058107164,0.29558957,0.20583214,0.3247922,0.4,0.5,0.5,0.5,0.48333332,0.6,0.5,0.5,0.5,0.51666665,-0.2,0.0,0.0,0.0,-0.033333335,0.41656604,0.4077776,0.44958976,0.48234338,0.42298475,0.5834339,0.5922224,0.5504103,0.5176566,0.5770152,-0.1668679,-0.18444477,-0.100820504,-0.03531328,-0.15403047,1.8550172,1.7190868,1.5739691,1.5607373,1.7625059,0.6900759,0.5196021,0.4262263,0.39802656,0.98085314,1.1635994,0.9673546,0.83911705,0.8951766,1.7650847,0.42276347,0.41372392,0.4720604,0.4913021,0.47292128,0.57723653,0.5862761,0.5279396,0.50869787,0.5270787,-0.1544731,-0.17255218,-0.0558792,-0.017395765,-0.054157425
3,SH600926,0.03931627751104523,0.8888888888888888,,,,SH600926,杭州银行,2026-04-22,-0.0017191912,0.010888211,-0.15789473,0.0028653187,0.2631579,0.006303701,0.57894737,0.0017191912,0.15789473,1.0017221,1.0045924,0.9936854,0.99967873,0.9919091,0.9757271,0.94314456,0.943582,0.86442167,0.98823535,0.9878855,0.9750383,0.9725199,0.9489941,0.011357814,0.008067078,0.01520037,0.017423183,0.031734195,0.0067351675,0.0012245746,0.0023523173,0.0008761595,0.0015756559,0.8791183,0.21122698,0.8382075,0.19598062,0.751913,-0.0017056671,0.006603957,0.002614682,0.014775792,0.0045240247,1.0085005,1.0085005,1.0085005,1.0085005,1.0085005,0.9741682,0.97340506,0.93740386,0.92135876,0.86207247,0.99807566,0.99304616,0.9910344,0.98714197,0.9785262,0.9770392,0.98202497,0.96081346,0.9585393,0.9274,1.0,1.0,1.0,1.0,1.0,0.7524063,0.75778985,0.88043785,0.9024524,0.9419478,0.8,0.9,0.95,0.96666664,0.98333335,0.6,0.1,0.05,0.3,0.016666668,0.2,0.8,0.9,0.6666667,0.96666664,0.078367494,-0.06302336,0.12238932,-0.054626096,-0.6177249,0.47024468,0.4246232,0.3852932,0.15220053,0.13811433,0.6,0.7,0.75,0.6666667,0.6166667,0.4,0.2,0.2,0.3,0.36666667,0.2,0.5,0.55,0.36666667,0.25,0.59788334,0.7110268,0.76104414,0.6157988,0.6424632,0.40211663,0.2889732,0.23895584,0.3842012,0.35753682,0.19576673,0.42205358,0.5220883,0.2315976,0.28492638,1.2660762,1.454108,1.4022563,1.6397657,2.2101848,0.31599846,0.5813195,0.45209202,0.5569389,1.1689056,0.83833104,1.0144243,0.9673695,1.1314987,1.1987246,0.34006467,0.39934057,0.45130172,0.49353442,0.4560251,0.65993536,0.60065943,0.54869825,0.50646555,0.5439749,-0.31987065,-0.20131887,-0.097396545,-0.012931155,-0.08794979
4,SH601298,0.03731726681818238,0.8888888888888888,,,,SH601298,青岛港,2026-04-22,0.0089887595,0.012359535,0.7272732,0.0033707763,0.27272677,0.0,0.0,0.0056179827,0.45454642,0.9910913,1.0033407,0.9910913,0.998236,0.9784053,0.9833887,0.9784053,1.0124584,0.93189365,0.9906977,0.97965115,0.9737126,0.9822259,1.0059662,0.0068841833,0.013221091,0.013621678,0.021210793,0.039017666,0.0029069858,0.0039816773,0.0013957251,-0.0009807859,-0.0011672908,0.44578046,0.83139807,0.36745706,0.16570526,0.2729829,0.0034883672,0.0024313007,0.013028006,0.031995505,0.028468879,1.0033407,1.0033407,1.0033407,1.0343902,1.1089475,0.9694838,0.9509238,0.9440519,0.9429386,0.9312488,0.9953489,0.99086374,0.98421925,1.0011628,1.0423588,0.9863787,0.967608,0.9631229,0.9641196,0.9682724,1.0,1.0,1.0,0.8,0.46666667,0.9013276,0.9362659,0.94365305,0.62395144,0.38689756,1.0,1.0,1.0,0.06666667,0.21666667,0.6,0.3,0.45,0.3,0.016666668,0.4,0.7,0.55,-0.23333333,0.2,-0.7857805,-0.6455775,-0.6546798,-0.24854347,0.49807087,-0.758333,-0.014652696,-0.30239293,-0.43762922,0.10655468,0.8,0.7,0.6,0.53333336,0.53333336,0.2,0.3,0.4,0.43333334,0.41666666,0.6,0.4,0.2,0.1,0.11666667,0.7826093,0.6086957,0.5550848,0.48101273,0.54939765,0.2173907,0.3913043,0.44491518,0.5189873,0.45060235,0.56521857,0.21739137,0.11016967,-0.037974562,0.09879527,1.0817841,1.169331,1.3967667,1.4696897,2.4319546,0.13268293,0.20698906,0.36480546,0.36573693,1.6774887,0.44981128,0.4865121,1.1084071,1.1511309,1.8878808,0.3484041,0.3341141,0.4403745,0.45705363,0.489484,0.6515959,0.6658859,0.5596255,0.54294634,0.510516,-0.3031918,-0.33177182,-0.11925104,-0.08589274,-0.021032004
5,SZ002074,0.037254023196461844,0.6666666666666666,,,,,,2026-04-22,0.0034687934,0.034440037,0.100719795,0.02452922,0.7122298,0.006442023,0.1870504,-0.014618404,-0.4244596,0.99654317,1.0244445,0.99012345,1.0031593,0.9560434,0.8684011,0.91701895,0.93978316,1.020271,0.99265045,0.9709702,0.9269323,0.92998374,0.933327,0.008422269,0.038334396,0.057792593,0.048501465,0.041422505,0.0043739853,0.009491336,0.0065523167,0.001303853,-0.00034361964,0.6742741,0.5619385,0.44989738,0.056007896,0.020988582,-0.0013983917,-0.013681216,0.010820731,0.05111039,0.07680977,1.0244445,1.0244445,1.0244445,1.0244445,1.0394937,0.9533334,0.8538271,0.8259319,0.8259319,0.8259319,1.0003035,0.9946667,0.98578864,0.97671545,0.96545255,0.98538756,0.9578212,0.8705691,0.8858428,0.9089539,0.8,0.9,0.95,0.96666664,0.96666664,0.65625006,0.8567295,0.87686205,0.87686205,0.8150715,1.0,1.0,1.0,1.0,0.083333336,0.2,0.1,0.4,0.6,0.8,0.8,0.9,0.6,0.4,-0.71666664,0.06584196,0.6826679,0.87355614,0.80654323,0.7017402,0.7841419,0.9251868,0.7492991,0.7148433,0.5726948,0.6,0.7,0.6,0.56666666,0.46666667,0.4,0.3,0.4,0.43333334,0.53333336,0.2,0.4,0.2,0.13333334,-0.06666667,0.858532,0.81598127,0.6066899,0.55986637,0.48951325,0.141468,0.18401875,0.3933101,0.4401336,0.5104868,0.71706396,0.6319625,0.21337977,0.11973279,-0.020973524,1.0386866,1.1381874,0.82046545,0.7771624,0.6740585,0.1371739,0.4225429,0.44340062,0.38130447,0.32526794,0.8706783,1.4741191,1.6142865,1.6588042,1.5265572,0.49236286,0.57400686,0.5303564,0.52856845,0.5148428,0.50763714,0.42599317,0.4696436,0.47143158,0.48515722,-0.015274314,0.14801367,0.060712844,0.05713684,0.029685566
6,SH600918,0.03721868027325053,0.5555555555555556,,,,SH600918,中泰证券,2026-04-22,0.005016704,0.013377878,0.375,0.006688939,0.5,0.0016722347,0.125,0.0,0.0,0.99500835,1.0066556,0.9933444,0.9999933,1.0128825,1.0193236,1.0144928,1.0338165,1.0885669,1.0061191,1.0088567,1.0099839,1.0187869,1.0414116,0.006963526,0.007970603,0.011297532,0.018584587,0.029005352,-0.004186797,-0.0008685858,-0.00062474975,-0.0014544697,-0.0015384039,0.90374404,0.10885652,0.10703186,0.47468475,0.857994,0.0022544274,-0.004948038,-0.0040487656,0.002302917,0.0039712167,1.0178244,1.0328736,1.0329304,1.0631225,1.101828,0.9933444,0.99178714,0.9820698,0.9820698,0.9820698,1.0119163,1.0148149,1.0193236,1.0389694,1.0692432,0.99967796,0.99967796,0.9983897,0.99967796,1.0128825,0.4,0.3,0.3,0.23333333,0.11666667,0.27187732,0.1998918,0.35253644,0.2212168,0.14972031,0.2,0.2,0.25,0.2,0.083333336,1.0,0.1,0.45,0.6333333,0.81666666,-0.8,0.1,-0.2,-0.43333334,-0.73333335,-0.82754594,-0.071406774,0.27197912,0.28440917,0.47054037,-0.20738345,0.44983786,0.5599079,0.1902546,0.15974584,0.4,0.5,0.5,0.53333336,0.51666665,0.6,0.5,0.45,0.43333334,0.43333334,-0.2,0.0,0.05,0.1,0.083333336,0.16666771,0.36363658,0.46218482,0.44198883,0.4110032,0.8333323,0.6363634,0.53781515,0.5580112,0.58899677,-0.6666646,-0.2727268,-0.07563037,-0.116022326,-0.17799358,0.9342618,1.0802107,1.0540385,1.1884195,1.3873086,0.11020432,0.4206555,0.32316238,0.4353071,0.5409775,0.7724811,1.2939563,1.0442709,1.6715629,1.4593048,0.7834772,0.43766925,0.4506753,0.4932546,0.4913006,0.2165228,0.5623307,0.5493247,0.5067454,0.50869936,0.5669544,-0.1246615,-0.098649375,-0.013490778,-0.017398773
7,SH601456,0.03556351406682074,0.7777777777777778,,,,SH601456,国联民生,2026-04-22,0.00753495,0.0150699,0.5,0.002152843,0.14285715,0.005382107,0.35714287,0.010764214,0.71428573,0.9925214,1.0021367,0.9871795,0.9967737,0.99382716,0.98868316,0.97016466,1.0164609,1.0555556,0.9962963,0.993107,0.98266464,0.98803157,1.0143176,0.0036081637,0.0077756257,0.013381868,0.017224727,0.030993707,0.00030862977,0.0016149088,0.0017334989,-0.00039298378,-0.0015219417,0.01829124,0.39540008,0.5873293,0.040340967,0.7354427,0.0030864328,-0.00037410532,0.0008671256,0.017666692,0.030579705,1.0021367,1.007862,1.007862,1.0241319,1.0755744,0.9871795,0.9711144,0.95766366,0.95766366,0.95766366,0.9991769,0.99897116,0.99588484,1.0063787,1.0467079,0.994856,0.99053496,0.96954733,0.97016466,0.98703706,1.0,1.0,1.0,0.76666665,0.38333333,0.85714287,0.7860541,0.84338146,0.6369413,0.35905433,1.0,0.2,0.6,0.16666667,0.083333336,1.0,0.1,0.45,0.6333333,0.81666666,0.0,0.1,0.15,-0.46666667,-0.73333335,-0.09759455,-0.036332272,0.45308223,0.2724766,0.64552087,-0.38104492,0.5652762,0.7054609,0.33833158,0.33897346,0.6,0.6,0.55,0.43333334,0.46666667,0.2,0.3,0.35,0.46666667,0.45,0.4,0.3,0.2,-0.033333335,0.016666668,0.6363633,0.58208936,0.5947712,0.46551722,0.43720922,0.36363667,0.41791064,0.4052288,0.5344828,0.5627908,0.27272666,0.16417871,0.18954238,-0.06896554,-0.12558158,0.7819122,0.9090992,0.8362459,0.87297046,1.1210107,0.16568606,0.38894194,0.32550493,0.30420738,0.45822755,1.0063136,1.2572666,1.196608,1.3235606,1.1447684,0.69098437,0.46795726,0.52077544,0.51269484,0.4645018,0.30901563,0.53204274,0.47922456,0.48730513,0.5354982,0.38196874,-0.06408547,0.041550856,0.025389703,-0.07099641
8,SZ300999,0.03385774384048763,0.5555555555555556,,,,,,2026-04-22,0.0032074563,0.016749762,0.19149265,0.013185948,0.787232,0.00035635792,0.021275401,-0.009622133,-0.5744639,0.9968028,1.0131438,0.99644756,1.0038776,1.0038596,1.0178946,1.0147368,1.0894736,1.0498245,1.0051228,1.0051228,1.009807,1.0321754,1.0438654,0.006496439,0.00525197,0.011258314,0.03962348,0.033817966,-0.0038596436,-0.00033599066,-0.0010238731,-0.0036529466,-0.0010532453,0.8824369,0.037516415,0.28947666,0.6586931,0.2958448,0.0025965036,-0.0036108256,-8.018393e-05,0.020792328,-0.012794712,1.0157982,1.0157982,1.0429364,1.1476792,1.1940995,0.99644756,0.99644756,0.979426,0.979426,0.979426,1.009193,1.009193,1.0187368,1.0767018,1.0698245,0.99985963,0.99985963,0.99985963,1.0037894,1.0132631,0.4,0.3,0.25,0.16666667,0.083333336,0.18358108,0.18358108,0.3239464,0.12227989,0.09583845,0.2,0.6,0.2,0.1,0.48333332,1.0,1.0,0.45,0.6333333,0.81666666,-0.8,-0.4,-0.25,-0.53333336,-0.33333334,0.08126059,0.06297814,0.5518423,0.8127837,0.6587743,0.6328737,0.60074115,0.2848363,0.21657054,0.60412455,0.4,0.4,0.5,0.4,0.46666667,0.6,0.6,0.5,0.6,0.53333336,-0.2,-0.2,0.0,-0.2,-0.06666667,0.43038037,0.37681204,0.46440685,0.37487748,0.46978727,0.5696196,0.62318796,0.53559315,0.6251225,0.53021276,-0.13923922,-0.24637592,-0.07118631,-0.250245,-0.060425486,0.8204077,0.7983783,0.9702193,1.3521676,1.465681,0.1327401,0.097503155,0.24272566,0.75414973,1.0042334,0.7887477,0.74863833,0.77419823,1.6189137,2.7187834,0.6531872,0.46442506,0.43735883,0.38054338,0.50328475,0.34681275,0.5355749,0.56264114,0.61945665,0.49671528,0.3063745,-0.07114986,-0.12528235,-0.23891325,0.006569459
9,SH601236,0.03317314040265355,0.6666666666666666,,,,SH601236,红塔证券,2026-04-22,0.0052151484,0.014341594,0.363638,0.007822658,0.5454525,0.0013037871,0.0909095,-0.0013037223,-0.09090498,0.9948119,1.0077821,0.9935149,1.0013702,1.0076087,1.001087,1.0271739,1.0271739,1.0717391,1.0054348,1.0044565,1.001087,1.0136594,1.0342392,0.005542426,0.0089845,0.01638994,0.023903988,0.028835008,-0.0031521788,0.0006390004,-0.00011114628,-0.0017045506,-0.0014132548,0.8086525,0.046368808,0.0016095452,0.39407673,0.73265684,0.00086957327,-0.007332021,-3.105757e-05,0.011056572,0.007451895,1.0151783,1.024467,1.0380093,1.071457,1.0795242,0.9935149,0.98131233,0.9661321,0.9661321,0.9661321,1.0091305,1.0091305,1.0115217,1.0315217,1.0610869,0.9997826,0.9997826,0.99130434,0.99826086,1.0084783,0.4,0.3,0.4,0.26666668,0.13333334,0.2993584,0.43303892,0.47119132,0.32155636,0.29867974,0.4,0.5,0.05,0.2,0.2,1.0,0.1,0.45,0.6333333,0.81666666,-0.6,0.4,-0.4,-0.43333334,-0.6166667,-0.38996407,-0.006073157,0.1850055,0.51769966,0.38923854,-0.5187888,0.651952,0.63760245,0.4139359,0.32589033,0.4,0.5,0.5,0.53333336,0.45,0.4,0.4,0.45,0.4,0.46666667,0.0,0.1,0.05,0.13333334,-0.016666668,0.266668,0.4925376,0.4269006,0.45173746,0.4266667,0.73333204,0.5074624,0.57309943,0.54826254,0.5733333,-0.46666402,-0.014924818,-0.14619881,-0.09652506,-0.1466666,0.91157776,1.1083803,1.2948345,1.5340451,1.5915228,0.10864029,0.50786287,0.4533769,0.65088964,0.5921687,1.1725916,1.5918925,1.1312357,1.2614787,1.2010038,0.58076036,0.4184623,0.4291259,0.4998448,0.4948557,0.41923964,0.5815377,0.5708741,0.5001552,0.5051443,0.1615207,-0.1630754,-0.14174818,-0.00031041267,-0.010288598
10,SH603195,0.030781611724197647,0.5555555555555556,,,,SH603195,公牛集团,2026-04-22,0.0033881785,0.008954508,0.37837684,0.002178151,0.2432463,0.0033881785,0.37837684,0.004598206,0.5135074,0.9966233,1.0021708,0.9932465,0.9983311,0.9935047,1.0154617,1.0031065,1.0557046,1.0108726,0.9964558,0.99593335,0.9989904,1.0100678,1.0225219,0.0049326047,0.0049056723,0.00756167,0.021079652,0.023163734,0.002103924,0.00024218309,-0.00031967057,-0.0018117027,-0.0007230624,0.45482823,0.02234097,0.06255152,0.5724647,0.29719,-0.0006636462,0.002976823,0.004046476,0.016201915,-0.0011915438,1.0052764,1.0175717,1.0210088,1.0636463,1.0711414,0.9871803,0.98408556,0.98408556,0.9799523,0.9799523,1.0003812,1.0002824,1.0037984,1.0305846,1.0445213,0.9925445,0.9925445,0.9934482,0.99390006,0.99717593,0.8,0.8,0.65,0.46666667,0.25,0.70842355,0.4752553,0.43101293,0.23953594,0.21984793,0.8,0.1,0.35,0.1,0.21666667,0.4,0.3,0.65,0.33333334,0.6666667,0.4,-0.2,-0.3,-0.23333333,-0.45,0.61358964,0.21206713,0.63075954,0.44418487,0.47305527,0.49994507,0.47934547,0.691034,0.17551358,0.38129693,0.4,0.3,0.35,0.33333334,0.43333334,0.6,0.7,0.65,0.6666667,0.55,-0.2,-0.4,-0.3,-0.33333334,-0.11666667,0.6411038,0.38485783,0.48896688,0.38627836,0.49110854,0.35889617,0.61514217,0.5110331,0.61372167,0.50889146,0.28220764,-0.23028433,-0.022066245,-0.22744328,-0.017782927,1.1631045,1.1672167,1.2006301,1.4100313,2.000635,0.27489755,0.22630358,0.3420825,0.49066967,1.1096798,1.1047823,0.7135038,1.1676886,1.48621,2.1353388,0.53830767,0.3531448,0.4439358,0.46485206,0.48272896,0.46169233,0.6468552,0.5560642,0.53514796,0.51727104,0.076615326,-0.2937104,-0.11212838,-0.0702959,-0.034542076
11,SZ300628,0.028955499087944325,0.5555555555555556,,,,,,2026-04-22,0.039603967,0.04372933,0.9056614,0.004125365,0.094338626,0.0,0.0,0.035478603,0.81132275,0.96190476,1.0039682,0.96190476,0.99016213,0.9336004,0.9161392,0.87169015,0.92857605,0.98359585,0.9566654,0.9450533,0.9071704,0.90444577,0.9369765,0.024387684,0.024420246,0.04443224,0.037534717,0.047084253,0.011455484,0.005914366,0.0070010573,0.0022711037,-0.0015859448,0.55160195,0.5376848,0.86895823,0.28373265,0.34603867,0.020423623,0.028332047,0.026319519,0.06262323,0.10980887,1.0039682,1.0039682,1.0039682,1.0039682,1.0439175,0.932538,0.90555453,0.83094823,0.83094823,0.83094823,0.96042126,0.9526485,0.9465071,0.9436491,0.97492266,0.9436491,0.9303196,0.86909837,0.870372,0.8946559,1.0,1.0,1.0,1.0,0.9166667,0.9444464,0.9596783,0.977065,0.977065,0.7937845,1.0,1.0,1.0,1.0,0.18333334,0.4,0.1,0.15,0.43333334,0.71666664,0.6,0.9,0.85,0.56666666,-0.53333336,0.98866993,0.8451873,0.54993653,0.41401106,0.6270729,0.9522661,0.9216366,0.76648384,0.66799796,0.49754816,0.6,0.5,0.65,0.56666666,0.5,0.2,0.4,0.3,0.4,0.48333332,0.4,0.1,0.35,0.16666667,0.016666668,0.9342774,0.7805134,0.75285465,0.60013175,0.5095684,0.06572256,0.21948656,0.24714532,0.39986825,0.4904316,0.8685549,0.5610269,0.50570935,0.2002635,0.019136785,0.39763388,0.37203515,0.3152507,0.3306673,0.40951473,0.33690903,0.2551217,0.19350672,0.16920666,0.20354936,1.9841983,1.8441919,1.9626516,1.9014409,1.4913417,0.8956787,0.67395616,0.6202466,0.60884947,0.53923815,0.1043213,0.3260438,0.37975338,0.39115056,0.46076182,0.7913574,0.34791234,0.24049321,0.21769889,0.07847636
