,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600115,0.1265014551201504,1.0,-0.01815182,0.14465327482611354,0.14465327482611354,SH600115,中国东航,2026-04-01,0.52785915,0.5268173
1,1,SH603993,0.1023022835938277,1.0,-0.010729611,0.1130318945137801,0.1130318945137801,SH603993,洛阳钼业,2026-04-01,2.5915332,2.6046968
2,2,SZ002493,0.0856893316181529,0.8125,-0.028738081,0.11442741307338361,0.11442741307338361,,,2026-04-01,0.74351853,0.746567
3,3,SH600029,0.0715446211671,0.9375,-0.012282431,0.08382705229274087,0.08382705229274087,SH600029,南方航空,2026-04-01,1.1046222,1.1063509
4,4,SH600919,0.0706397815123866,0.8125,-0.0065933466,0.07723312810815076,0.07723312810815076,SH600919,江苏银行,2026-04-01,0.37336913,0.37393528
5,5,SZ002601,0.0690624937811416,0.9375,0.00233531,0.0667271837988418,0.0667271837988418,,,2026-04-01,0.2250659,0.22835846
6,6,SH601166,0.0655096433910708,0.875,-0.011166573,0.07667621596187157,0.07667621596187157,SH601166,兴业银行,2026-04-01,1.3049206,1.306155
7,7,SH603799,0.0654564997108067,0.875,-0.026437938,0.0918944379241551,0.0918944379241551,SH603799,华友钴业,2026-04-01,8.1823,8.253252
8,8,SH600219,0.0638878527882893,0.625,-0.03892666,0.10281451380284619,0.10281451380284619,SH600219,南山铝业,2026-04-01,3.2162497,3.2104325
9,9,SH601169,0.0631158580036351,0.75,-0.011070192,0.07418604986383408,0.07418604986383408,SH601169,北京银行,2026-04-01,0.2595911,0.25997844
10,10,SH605117,0.0627354157570538,0.6875,-0.008941293,0.07167670851981015,0.07167670851981015,SH605117,德业股份,2026-04-01,1.652254,1.679126
11,11,SZ000001,0.062545815116788,0.8125,-0.013311684,0.07585749924841031,0.07585749924841031,,,2026-04-01,1.300326,1.3014745
12,12,SH600362,0.0623673729237078,0.875,-0.018602788,0.08097016137204155,0.08097016137204155,SH600362,江西铜业,2026-04-01,6.791812,6.837379
13,13,SH601868,0.0611529187250938,0.75,-0.00999999,0.07115290918835063,0.07115290918835063,SH601868,中国能建,2026-04-01,0.4175729,0.4180172
14,14,SH601658,0.0605436888092901,0.75,-0.011347532,0.07189122108162896,0.07189122108162896,SH601658,邮储银行,2026-04-01,0.30487567,0.30502096
15,15,SZ300274,0.0598200656914219,0.6875,-0.030879736,0.09069980163807717,0.09069980163807717,,,2026-04-01,10.186143,10.230261
16,16,SH600893,0.0594681230991838,0.8125,-0.016231418,0.07569954075512862,0.07569954075512862,SH600893,航发动力,2026-04-01,6.4303145,6.521147
17,17,SH601600,0.0592773059686092,0.75,-0.040062845,0.09934015072187458,0.09934015072187458,SH601600,中国铝业,2026-04-01,0.04049497,0.04037117
18,18,SH601328,0.0590483145834569,1.0,-0.014522791,0.07357110549227037,0.07357110549227037,SH601328,交通银行,2026-04-01,0.28639948,0.28656003
19,19,SH600887,0.0589220115230925,0.8125,-0.0045387745,0.06346078601344896,0.06346078601344896,SH600887,伊利股份,2026-04-01,75.66888,75.669106
20,20,SH600036,0.0579537451256714,0.875,-0.009078264,0.06703200936212159,0.06703200936212159,SH600036,招商银行,2026-04-01,14.705177,14.726659
21,21,SZ002625,0.0579510166719498,0.8125,-0.003452897,0.06140391374378818,0.06140391374378818,,,2026-04-01,4.648019,4.694637
22,22,SH601838,0.0572711045685547,0.9375,-0.009361088,0.06663219284446412,0.06663219284446412,SH601838,成都银行,2026-04-01,0.34371898,0.34363353
23,23,SZ000630,0.0569753299437929,0.75,-0.013723373,0.07069870335687883,0.07069870335687883,,,2026-04-01,21.735216,21.884287
24,24,SH603501,0.0560737352350381,0.875,-0.01312542,0.06919915485173732,0.06919915485173732,SH603501,豪威集团,2026-04-01,1.6925004,1.7079158
25,25,SH601009,0.0559002858186829,0.75,-0.012482822,0.06838310776005863,0.06838310776005863,SH601009,南京银行,2026-04-01,1.5845996,1.5857384
26,26,SH600588,0.0549482176547384,0.75,-0.022980273,0.07792849042466637,0.07792849042466637,SH600588,用友网络,2026-04-01,4.3586593,4.3846116
27,27,SH601668,0.0547998625022764,0.75,-0.0058626533,0.060662515757739045,0.060662515757739045,SH601668,中国建筑,2026-04-01,0.66468257,0.66481847
28,28,SH688126,0.0542191885468937,0.8125,-0.017119288,0.07133847699141274,0.07133847699141274,SH688126,沪硅产业,2026-04-01,0.14265618,0.14427191
29,29,SH601816,0.0535331243819115,0.9375,-0.012681186,0.06621431058109972,0.06621431058109972,SH601816,京沪高铁,2026-04-01,0.13010079,0.13010766
30,30,SH688506,0.053369615252071,0.5625,-0.019575357,0.07294497268920479,0.07294497268920479,SH688506,百利天恒,2026-04-01,0.31132126,0.31851557
31,31,SH688008,0.0529925621654738,0.8125,-0.013538897,0.0665314592029799,0.0665314592029799,SH688008,澜起科技,2026-04-01,0.024411328,0.024796719
32,32,SZ003816,0.0528577214859412,0.8125,-0.0056497455,0.05850746695026615,0.05850746695026615,,,2026-04-01,0.4808269,0.48597592
33,33,SH601018,0.0528373314442347,0.75,-0.021015763,0.07385309472701057,0.07385309472701057,SH601018,宁波港,2026-04-01,0.62701166,0.62988997
34,34,SH601229,0.0523361608895284,0.875,-0.010179579,0.06251574014749349,0.06251574014749349,SH601229,上海银行,2026-04-01,0.21430197,0.21447055
35,35,SH601006,0.0522741747171572,0.9375,-0.024130583,0.07640475752660544,0.07640475752660544,SH601006,大秦铁路,2026-04-01,1.2224092,1.2253547
36,36,SH600015,0.0522280852780488,0.9375,-0.0118585825,0.06408666777469187,0.06408666777469187,SH600015,华夏银行,2026-04-01,5.617817,5.6121054
37,37,SZ300251,0.0509794228008818,0.6875,-0.030825496,0.08180491852079147,0.08180491852079147,,,2026-04-01,2.006215,2.019685
38,38,SH601988,0.0481558690854522,0.8125,-0.020195425,0.06835129364218437,0.06835129364218437,SH601988,中国银行,2026-04-01,2.7615435,2.7708788
39,39,SZ000895,0.047661503832051,0.8125,-0.025826931,0.07348843483180686,0.07348843483180686,,,2026-04-01,66.36656,66.459496
40,40,SH603260,0.0470088111548884,0.8125,-0.015792072,0.06280088297419381,0.06280088297419381,SH603260,合盛硅业,2026-04-01,0.11768327,0.11817173
41,41,SH600926,0.046766086731555,0.8125,0.0024887323,0.04427735439360334,0.04427735439360334,SH600926,杭州银行,2026-04-01,0.2702234,0.27253157
42,42,SH600585,0.0460167208218692,0.625,-0.011636138,0.05765285878421051,0.05765285878421051,SH600585,海螺水泥,2026-04-01,20.721943,20.76714
43,43,SH601888,0.0456733586516809,0.875,-0.015466154,0.061139512273354485,0.061139512273354485,SH601888,中国中免,2026-04-01,1.2897625,1.295744
44,44,SH601607,0.0451378265732292,0.625,-0.0011430979,0.04628092445073164,0.04628092445073164,SH601607,上海医药,2026-04-01,1.123738,1.1263565
45,45,SH600018,0.0450036460764831,0.75,-0.011641383,0.05664502924756464,0.05664502924756464,SH600018,上港集团,2026-04-01,1.0112166,1.0115638
46,46,SH600372,0.0446909971961774,0.625,-0.0153541565,0.06004515369031802,0.06004515369031802,SH600372,中航机载,2026-04-01,0.6584258,0.6621811
47,47,SH600023,0.0446713970073957,0.75,-0.01814884,0.06282023648112006,0.06282023648112006,SH600023,浙能电力,2026-04-01,0.27950248,0.28000975
48,48,SH601939,0.0446512141962223,0.8125,-0.018828511,0.06347972543432044,0.06347972543432044,SH601939,建设银行,2026-04-01,0.8175504,0.81492496
49,49,SZ000301,0.0444524407841089,0.8125,0.009139419,0.03531302218211915,0.03531302218211915,,,2026-04-01,0.35903004,0.3701468
50,50,SZ002049,0.0434281314931746,0.5,-0.014871657,0.05829978838785844,0.05829978838785844,,,2026-04-01,53.132427,53.51936
51,51,SZ000538,0.0432578489521886,0.75,-0.005634904,0.04889275285996448,0.04889275285996448,,,2026-04-01,75.67164,76.23152
52,52,SH600489,0.0423756495563854,0.625,0.010614634,0.03176101599620473,0.03176101599620473,SH600489,中金黄金,2026-04-01,60.12602,61.151936
53,53,SH600104,0.0420810791435669,0.75,-0.016100585,0.058181664604229744,0.058181664604229744,SH600104,上汽集团,2026-04-01,8.85468,8.866553
54,54,SH600989,0.0412804643516213,0.6875,-0.025626421,0.06690688532635275,0.06690688532635275,SH600989,宝丰能源,2026-04-01,0.16389674,0.16437165
55,55,SH600000,0.0411944418209871,1.0,-0.012698412,0.05389285376251542,0.05389285376251542,SH600000,浦发银行,2026-04-01,4.31741,4.3172746
56,56,SH600918,0.0410611737565211,0.75,-0.00967741,0.050738583882253524,0.050738583882253524,SH600918,中泰证券,2026-04-01,0.16090643,0.16154802
57,57,SH601998,0.0405178927850593,0.9375,-0.0110529065,0.05157079929827341,0.05157079929827341,SH601998,中信银行,2026-04-01,0.27308974,0.27325004
58,58,SH600900,0.0403904974715161,0.75,-0.011522353,0.05191285016698119,0.05191285016698119,SH600900,长江电力,2026-04-01,10.166775,10.162084
59,59,SH601111,0.0401751268266706,0.75,-0.01522845,0.055403577124979925,0.055403577124979925,SH601111,中国国航,2026-04-01,1.1511924,1.1562563
60,60,SH601916,0.0399584032892387,0.6875,-0.0024331212,0.04239152449361492,0.04239152449361492,SH601916,浙商银行,2026-04-01,0.23025782,0.2314663
61,61,SH601077,0.0392916763296189,0.875,-0.01821673,0.057508405493742434,0.057508405493742434,SH601077,渝农商行,2026-04-01,0.17355067,0.17376241
62,62,SZ000651,0.0392882894239045,0.8125,-0.010039687,0.049327976580581745,0.049327976580581745,,,2026-04-01,470.7416,471.4878
63,63,SZ002415,0.038672763485439,0.8125,-0.004267633,0.042940396446712194,0.042940396446712194,,,2026-04-01,2.5690799,2.5902524
64,64,SH603392,0.0382918472263704,1.0,-0.031353116,0.06964496326183182,0.06964496326183182,SH603392,万泰生物,2026-04-01,2.0960035,2.0982049
65,65,SH601825,0.038222889107258,1.0,-0.011409998,0.049632887047321474,0.049632887047321474,SH601825,沪农商行,2026-04-01,0.1421608,0.14229564
66,66,SH601698,0.0379756075081744,0.75,-0.012089193,0.05006480037545345,0.05006480037545345,SH601698,中国卫通,2026-04-01,2.1204188,2.1633937
67,67,SH600760,0.0376630919954711,0.5625,-0.00082576275,0.03848885474418936,0.03848885474418936,SH600760,中航沈飞,2026-04-01,5.58212,5.6075726
68,68,SH600111,0.0368491778107993,0.6875,0.0006247759,0.036224401924263655,0.036224401924263655,SH600111,北方稀土,2026-04-01,97.3884,98.98377
69,69,SZ301269,0.036766788866905,0.8125,0.014236689,0.0225301002530134,0.0225301002530134,,,2026-04-01,0.014544239,0.014940462
70,70,SZ000768,0.0354812315742444,0.75,-0.0143408775,0.04982210910720338,0.04982210910720338,,,2026-04-01,3.2705643,3.2881517
71,71,SH600016,0.0353088137225231,0.75,-0.007971585,0.043280398519428616,0.043280398519428616,SH600016,民生银行,2026-04-01,14.701154,14.701365
72,72,SH600570,0.0340337121760999,0.5625,-0.0063058734,0.04033958557011235,0.04033958557011235,SH600570,恒生电子,2026-04-01,130.24425,131.88858
73,73,SZ002142,0.0339599320179419,0.6875,-0.013182402,0.047142333675046395,0.047142333675046395,,,2026-04-01,0.37820715,0.37879276
74,74,SZ301236,0.0337391042568875,0.8125,-0.009675503,0.04341460703398711,0.04341460703398711,,,2026-04-01,0.052946504,0.05365641
75,75,SH600061,0.0336678780239437,0.625,-0.033042252,0.06671013008769491,0.06671013008769491,SH600061,国投资本,2026-04-01,5.3277125,5.328278
76,76,SH600183,0.0335749170820808,0.75,0.01685369,0.0167212269346809,0.0167212269346809,SH600183,生益科技,2026-04-01,49.77596,51.386295
77,77,SH688082,0.0335250838014467,0.6875,-0.002599001,0.03612408473223283,0.03612408473223283,SH688082,盛美上海,2026-04-01,0.00859257,0.008695094
78,78,SZ002600,0.0331838111024855,0.6875,-0.012683511,0.04586732188281997,0.04586732188281997,,,2026-04-01,0.6102917,0.6157395
79,79,SH605499,0.0328110638472808,0.75,-0.022267103,0.05507816704247123,0.05507816704247123,SH605499,东鹏饮料,2026-04-01,0.09022663,0.090665795
80,80,SZ302132,0.0326180112181604,0.5625,-0.010235667,0.04285367844685913,0.04285367844685913,,,2026-04-01,0.5214013,0.5235017
81,81,SH600600,0.0324584220857717,0.75,-0.013774633,0.046233055493364476,0.046233055493364476,SH600600,青岛啤酒,2026-04-01,2.7716897,2.7962518
82,82,SH600025,0.0324282388015523,0.6875,-0.017255545,0.04968378346402789,0.04968378346402789,SH600025,华能水电,2026-04-01,1.5399798,1.5398259
83,83,SH603195,0.0322299952618239,0.75,-0.013425648,0.04565564347425676,0.04565564347425676,SH603195,公牛集团,2026-04-01,0.06666296,0.0668476
84,84,SH600547,0.0317998259104384,0.625,0.0039969683,0.027802857641090258,0.027802857641090258,SH600547,山东黄金,2026-04-01,175.69223,177.75508
85,85,SZ300759,0.0317678393852504,0.375,-0.018064618,0.04983245749590714,0.04983245749590714,,,2026-04-01,1.3688688,1.367242
86,86,SH600010,0.0316760786494096,0.5625,0.014993072,0.01668300709331829,0.01668300709331829,SH600010,包钢股份,2026-04-01,4.51418,4.7356086
87,87,SZ000333,0.0315377467574625,0.6875,-0.013199151,0.04473689731974888,0.04473689731974888,,,2026-04-01,1.3795236,1.3791229
88,88,SH688169,0.030524002947668,0.625,-0.032840908,0.06336491052136795,0.06336491052136795,SH688169,石头科技,2026-04-01,0.007561809,0.0075926236
89,89,SZ002027,0.0302211858787432,0.6875,-0.02614683,0.05636801500700858,0.05636801500700858,,,2026-04-01,8.301805,8.3402405
90,90,SZ300433,0.0301655747456062,0.6875,0.016011953,0.014153621391724363,0.014153621391724363,,,2026-04-01,0.9229892,0.9622874
91,91,SH601390,0.0299660724372136,0.5625,-0.027522922,0.05748899399940842,0.05748899399940842,SH601390,中国中铁,2026-04-01,0.166264,0.16706227
92,92,SH601186,0.0289950687145693,0.6875,-0.00875479,0.03774985854382345,0.03774985854382345,SH601186,中国铁建,2026-04-01,0.11190448,0.11203191
93,93,SH600026,0.0285117725693324,0.5625,0.023939013,0.004572759088192262,0.004572759088192262,SH600026,中远海能,2026-04-01,4.413014,4.7279606
94,94,SZ300413,0.0283547280752614,0.8125,-0.023420572,0.05177530035614519,0.05177530035614519,,,2026-04-01,0.38119555,0.38279805
95,95,SZ000858,0.0281753761351132,0.625,-0.014378905,0.042554281431438884,0.042554281431438884,,,2026-04-01,20.098066,20.09241
96,96,SH601398,0.0281182204615503,1.0,-0.017322838,0.0454410587679773,0.0454410587679773,SH601398,工商银行,2026-04-01,4.420972,4.424201
97,97,SZ002241,0.0281106759639111,0.5625,-0.015501976,0.04361265197709469,0.04361265197709469,,,2026-04-01,13.394697,13.490028
98,98,SZ000002,0.0276075020659184,0.6875,-0.025509655,0.05311715754153486,0.05311715754153486,,,2026-04-01,16.83889,16.881865
99,99,SZ002236,0.0264271089404817,0.5,-0.0017816424,0.028208751377462902,0.028208751377462902,,,2026-04-01,22.339535,22.459393
100,100,SH600515,0.0256790597329836,0.8125,-0.022842646,0.0485217053781252,0.0485217053781252,SH600515,海南机场,2026-04-01,0.22621022,0.22652055
101,101,SZ300408,0.0256196489424685,0.375,0.031211615,-0.0055919656662961476,0.0055919656662961476,,,2026-04-01,0.58382785,0.60764706
102,102,SH601456,0.0248422313652298,0.6875,-0.0031983256,0.028040556999232486,0.028040556999232486,SH601456,国联民生,2026-04-01,0.259857,0.2610698
103,103,SZ002050,0.0245332446296092,0.8125,-0.021255612,0.04578885700296125,0.04578885700296125,,,2026-04-01,144.43794,146.49635
104,104,SZ002304,0.0244497303058889,0.8125,-0.022964358,0.04741408863566185,0.04741408863566185,,,2026-04-01,0.17092882,0.17095706
105,105,SH600160,0.0242209600184526,0.4375,0.0023633242,0.021857635853108362,0.021857635853108362,SH600160,巨化股份,2026-04-01,24.845436,25.547014
106,106,SH601021,0.0241107145121,0.6875,-0.019890606,0.04400132091545083,0.04400132091545083,SH601021,春秋航空,2026-04-01,0.3127111,0.3131683
107,107,SZ300316,0.0240034027238512,0.625,-0.015447259,0.039450661673130986,0.039450661673130986,,,2026-04-01,3.1754413,3.2306294
108,108,SZ300760,0.0229463586354186,0.5625,-0.024661303,0.04760766120194692,0.04760766120194692,,,2026-04-01,0.040785998,0.04079347
109,109,SH601766,0.0228338476626419,0.8125,-0.009793222,0.03262706961317291,0.03262706961317291,SH601766,中国中车,2026-04-01,1.1316843,1.1311728
110,110,SH600519,0.0226879890808148,0.6875,8.2850456e-05,0.02260513862457701,0.02260513862457701,SH600519,贵州茅台,2026-04-01,82.40517,82.974236
111,111,SH603893,0.0224079376339021,0.5,-0.001167953,0.02357589064827588,0.02357589064827588,SH603893,瑞芯微,2026-04-01,0.81865996,0.8278775
112,112,SH688981,0.021166324059786,0.6875,-0.01523602,0.0364023441479818,0.0364023441479818,SH688981,中芯国际,2026-04-01,0.013554932,0.013662557
113,113,SH688396,0.0209852405623642,0.75,-0.013999999,0.034985239131852724,0.034985239131852724,SH688396,华润微,2026-04-01,0.02582518,0.02609625
114,114,SH601100,0.0208994200844836,0.6875,0.004780531,0.01611888915491817,0.01611888915491817,SH601100,恒立液压,2026-04-01,2.3119621,2.3679004
115,115,SH601818,0.0206806008627079,0.625,0.0,0.0206806008627079,0.0206806008627079,SH601818,光大银行,2026-04-01,1.0224688,1.0256741
116,116,SH600460,0.0204974969335989,0.5,-0.018635333,0.03913282951798,0.03913282951798,SH600460,士兰微,2026-04-01,12.605659,12.686319
117,117,SH600886,0.0202050549741534,0.4375,-0.021193206,0.041398261284425614,0.041398261284425614,SH600886,国投电力,2026-04-01,27.882393,27.863157
118,118,SH600019,0.0196987149556883,0.5625,-0.005895674,0.02559438918435651,0.02559438918435651,SH600019,宝钢股份,2026-04-01,2.0356202,2.0400758
119,119,SZ002352,0.0196928051284038,0.5625,-0.013913035,0.033605840521165026,0.033605840521165026,,,2026-04-01,0.52124864,0.52287084
120,120,SZ300750,0.0196293913094869,0.625,-0.036674798,0.05630418884442953,0.05630418884442953,,,2026-04-01,1.1278391,1.1267822
121,121,SH601336,0.0195901495666628,0.5625,-0.0140199065,0.03361005608750631,0.03361005608750631,SH601336,新华保险,2026-04-01,0.1531045,0.15391073
